;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:17:13
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:78.60mJ             
;Max:80.64mJ             
;Average:79.83mJ             
;Std.Dev.:296.4uJ             
;Overrange:0                   
;Total Pulses:615                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:17:14
  Timestamp   	  Channel A  	  F(A)       	
         9.635	  7.850e-02 	  8.004e-02 	
         9.667	  8.020e-02 	  8.007e-02 	
         9.701	  7.990e-02 	  8.008e-02 	
         9.735	  8.150e-02 	  8.009e-02 	
         9.767	  7.800e-02 	  8.007e-02 	
         9.801	  8.080e-02 	  8.009e-02 	
         9.835	  8.220e-02 	  8.011e-02 	
         9.867	  7.940e-02 	  8.009e-02 	
         9.901	  8.020e-02 	  8.008e-02 	
         9.935	  8.000e-02 	  8.006e-02 	
         9.967	  8.090e-02 	  8.006e-02 	
        10.001	  7.710e-02 	  8.002e-02 	
        10.035	  7.830e-02 	  7.997e-02 	
        10.067	  7.960e-02 	  7.995e-02 	
        10.101	  7.830e-02 	  7.994e-02 	
        10.135	  7.880e-02 	  7.992e-02 	
        10.167	  7.920e-02 	  7.991e-02 	
        10.201	  7.750e-02 	  7.988e-02 	
        10.235	  7.720e-02 	  7.987e-02 	
        10.267	  7.860e-02 	  7.983e-02 	
        10.301	  7.720e-02 	  7.980e-02 	
        10.334	  7.940e-02 	  7.979e-02 	
        10.367	  8.000e-02 	  7.976e-02 	
        10.401	  7.810e-02 	  7.974e-02 	
        10.435	  7.770e-02 	  7.970e-02 	
        10.467	  7.960e-02 	  7.970e-02 	
        10.501	  8.090e-02 	  7.971e-02 	
        10.535	  7.950e-02 	  7.971e-02 	
        10.567	  8.030e-02 	  7.971e-02 	
        10.601	  8.020e-02 	  7.972e-02 	
        10.635	  7.870e-02 	  7.971e-02 	
        10.666	  7.850e-02 	  7.967e-02 	
        10.700	  7.960e-02 	  7.966e-02 	
        10.735	  7.780e-02 	  7.962e-02 	
        10.767	  7.720e-02 	  7.959e-02 	
        10.801	  7.770e-02 	  7.955e-02 	
        10.835	  7.730e-02 	  7.951e-02 	
        10.867	  7.940e-02 	  7.950e-02 	
        10.901	  7.990e-02 	  7.949e-02 	
        10.935	  8.000e-02 	  7.947e-02 	
        10.967	  8.000e-02 	  7.947e-02 	
        11.001	  7.900e-02 	  7.946e-02 	
        11.035	  7.860e-02 	  7.947e-02 	
        11.067	  7.890e-02 	  7.946e-02 	
        11.101	  7.850e-02 	  7.946e-02 	
        11.135	  7.890e-02 	  7.947e-02 	
        11.167	  7.970e-02 	  7.947e-02 	
        11.201	  7.940e-02 	  7.946e-02 	
        11.234	  7.870e-02 	  7.947e-02 	
        11.266	  7.960e-02 	  7.948e-02 	
        11.301	  7.950e-02 	  7.949e-02 	
        11.334	  8.020e-02 	  7.949e-02 	
        11.366	  7.960e-02 	  7.949e-02 	
        11.401	  7.960e-02 	  7.951e-02 	
        11.435	  8.160e-02 	  7.954e-02 	
        11.466	  7.870e-02 	  7.953e-02 	
        11.501	  7.920e-02 	  7.951e-02 	
        11.535	  8.200e-02 	  7.951e-02 	
        11.566	  8.050e-02 	  7.950e-02 	
        11.600	  8.300e-02 	  7.954e-02 	
        11.635	  7.930e-02 	  7.953e-02 	
        11.666	  8.140e-02 	  7.955e-02 	
        11.700	  8.000e-02 	  7.955e-02 	
        11.734	  7.790e-02 	  7.953e-02 	
        11.767	  7.810e-02 	  7.950e-02 	
        11.801	  7.900e-02 	  7.951e-02 	
        11.834	  8.080e-02 	  7.952e-02 	
        11.867	  8.010e-02 	  7.950e-02 	
        11.901	  7.630e-02 	  7.946e-02 	
        11.934	  7.680e-02 	  7.943e-02 	
        11.967	  7.970e-02 	  7.941e-02 	
        12.000	  8.090e-02 	  7.942e-02 	
        12.034	  7.820e-02 	  7.941e-02 	
        12.066	  7.960e-02 	  7.939e-02 	
        12.101	  8.050e-02 	  7.940e-02 	
        12.135	  8.030e-02 	  7.940e-02 	
        12.166	  8.110e-02 	  7.941e-02 	
        12.200	  7.960e-02 	  7.942e-02 	
        12.235	  7.850e-02 	  7.942e-02 	
        12.266	  8.000e-02 	  7.941e-02 	
        12.300	  7.930e-02 	  7.940e-02 	
        12.335	  7.650e-02 	  7.936e-02 	
        12.370	  7.900e-02 	  7.935e-02 	
        12.400	  8.010e-02 	  7.936e-02 	
        12.434	  8.080e-02 	  7.935e-02 	
        12.466	  7.960e-02 	  7.936e-02 	
        12.500	  8.110e-02 	  7.936e-02 	
        12.534	  8.010e-02 	  7.938e-02 	
        12.566	  7.870e-02 	  7.938e-02 	
        12.600	  8.070e-02 	  7.939e-02 	
        12.635	  7.970e-02 	  7.939e-02 	
        12.666	  8.030e-02 	  7.941e-02 	
        12.700	  8.120e-02 	  7.942e-02 	
        12.734	  7.800e-02 	  7.940e-02 	
        12.766	  7.730e-02 	  7.935e-02 	
        12.800	  7.860e-02 	  7.936e-02 	
        12.834	  7.940e-02 	  7.934e-02 	
        12.867	  7.940e-02 	  7.931e-02 	
        12.900	  8.190e-02 	  7.934e-02 	
        12.934	  7.950e-02 	  7.933e-02 	
        12.966	  8.070e-02 	  7.934e-02 	
        13.000	  7.960e-02 	  7.932e-02 	
        13.034	  7.900e-02 	  7.934e-02 	
        13.066	  8.050e-02 	  7.937e-02 	
        13.100	  8.000e-02 	  7.937e-02 	
        13.134	  7.960e-02 	  7.939e-02 	
        13.166	  8.070e-02 	  7.941e-02 	
        13.200	  8.200e-02 	  7.944e-02 	
        13.234	  7.830e-02 	  7.945e-02 	
        13.266	  7.930e-02 	  7.947e-02 	
        13.300	  7.920e-02 	  7.948e-02 	
        13.334	  7.970e-02 	  7.950e-02 	
        13.366	  8.000e-02 	  7.951e-02 	
        13.400	  7.740e-02 	  7.948e-02 	
        13.434	  7.730e-02 	  7.947e-02 	
        13.466	  7.920e-02 	  7.949e-02 	
        13.500	  7.850e-02 	  7.948e-02 	
        13.534	  7.740e-02 	  7.944e-02 	
        13.566	  8.030e-02 	  7.945e-02 	
        13.600	  7.990e-02 	  7.944e-02 	
        13.635	  7.940e-02 	  7.944e-02 	
        13.666	  7.890e-02 	  7.944e-02 	
        13.700	  7.870e-02 	  7.944e-02 	
        13.734	  7.950e-02 	  7.944e-02 	
        13.766	  8.030e-02 	  7.947e-02 	
        13.800	  8.030e-02 	  7.950e-02 	
        13.834	  7.970e-02 	  7.952e-02 	
        13.866	  8.160e-02 	  7.957e-02 	
        13.900	  7.960e-02 	  7.957e-02 	
        13.934	  7.830e-02 	  7.955e-02 	
        13.966	  7.930e-02 	  7.955e-02 	
        14.000	  7.950e-02 	  7.954e-02 	
        14.034	  7.890e-02 	  7.954e-02 	
        14.066	  8.070e-02 	  7.956e-02 	
        14.100	  7.900e-02 	  7.956e-02 	
        14.134	  7.920e-02 	  7.957e-02 	
        14.166	  8.100e-02 	  7.959e-02 	
        14.200	  8.050e-02 	  7.960e-02 	
        14.234	  7.950e-02 	  7.960e-02 	
        14.266	  7.960e-02 	  7.961e-02 	
        14.300	  7.920e-02 	  7.961e-02 	
        14.334	  7.960e-02 	  7.961e-02 	
        14.366	  8.100e-02 	  7.962e-02 	
        14.400	  8.180e-02 	  7.964e-02 	
        14.434	  8.020e-02 	  7.965e-02 	
        14.466	  7.940e-02 	  7.963e-02 	
        14.500	  8.160e-02 	  7.966e-02 	
        14.534	  8.000e-02 	  7.967e-02 	
        14.566	  8.030e-02 	  7.965e-02 	
        14.600	  8.010e-02 	  7.964e-02 	
        14.634	  7.860e-02 	  7.960e-02 	
        14.666	  7.990e-02 	  7.960e-02 	
        14.700	  7.900e-02 	  7.958e-02 	
        14.734	  8.090e-02 	  7.959e-02 	
        14.771	  8.070e-02 	  7.963e-02 	
        14.800	  8.110e-02 	  7.965e-02 	
        14.832	  8.020e-02 	  7.966e-02 	
        14.866	  7.920e-02 	  7.965e-02 	
        14.900	  8.000e-02 	  7.964e-02 	
        14.932	  7.750e-02 	  7.966e-02 	
        14.966	  8.050e-02 	  7.970e-02 	
        15.000	  8.120e-02 	  7.971e-02 	
        15.032	  8.030e-02 	  7.971e-02 	
        15.066	  7.830e-02 	  7.971e-02 	
        15.100	  8.110e-02 	  7.973e-02 	
        15.134	  7.770e-02 	  7.969e-02 	
        15.166	  7.780e-02 	  7.967e-02 	
        15.200	  7.880e-02 	  7.964e-02 	
        15.232	  7.730e-02 	  7.962e-02 	
        15.266	  7.920e-02 	  7.962e-02 	
        15.300	  7.890e-02 	  7.961e-02 	
        15.332	  7.960e-02 	  7.962e-02 	
        15.366	  7.750e-02 	  7.963e-02 	
        15.400	  7.970e-02 	  7.963e-02 	
        15.432	  7.860e-02 	  7.962e-02 	
        15.466	  8.140e-02 	  7.962e-02 	
        15.500	  8.000e-02 	  7.963e-02 	
        15.532	  8.040e-02 	  7.962e-02 	
        15.566	  8.020e-02 	  7.962e-02 	
        15.600	  7.880e-02 	  7.962e-02 	
        15.632	  8.120e-02 	  7.963e-02 	
        15.666	  8.290e-02 	  7.966e-02 	
        15.700	  8.040e-02 	  7.966e-02 	
        15.732	  8.040e-02 	  7.966e-02 	
        15.766	  7.880e-02 	  7.966e-02 	
        15.804	  7.900e-02 	  7.970e-02 	
        15.832	  8.010e-02 	  7.970e-02 	
        15.866	  8.260e-02 	  7.974e-02 	
        15.900	  8.010e-02 	  7.974e-02 	
        15.932	  7.990e-02 	  7.972e-02 	
        15.966	  8.070e-02 	  7.973e-02 	
        16.000	  7.960e-02 	  7.972e-02 	
        16.032	  7.810e-02 	  7.971e-02 	
        16.066	  7.990e-02 	  7.972e-02 	
        16.100	  7.850e-02 	  7.969e-02 	
        16.132	  8.100e-02 	  7.970e-02 	
        16.166	  7.770e-02 	  7.968e-02 	
        16.200	  7.730e-02 	  7.965e-02 	
        16.232	  7.800e-02 	  7.960e-02 	
        16.266	  8.020e-02 	  7.962e-02 	
        16.300	  8.070e-02 	  7.964e-02 	
        16.332	  8.020e-02 	  7.965e-02 	
        16.366	  7.940e-02 	  7.965e-02 	
        16.400	  8.160e-02 	  7.966e-02 	
        16.432	  8.000e-02 	  7.969e-02 	
        16.466	  8.140e-02 	  7.974e-02 	
        16.500	  8.040e-02 	  7.975e-02 	
        16.532	  7.950e-02 	  7.976e-02 	
        16.566	  7.990e-02 	  7.979e-02 	
